Company Name,Industry,Symbol,Series,ISIN Code
Aksh Optifibre Limited,,AKSHOPTFBR,BE,INE523B01011
Akums Drugs and Pharmaceuticals Limited,,AKUMS,EQ,INE09XN01023
Alankit Limited,,ALANKIT,EQ,INE914E01040
Albert David Limited,,ALBERTDAVD,EQ,INE155C01010
Alembic Limited,,ALEMBICLTD,EQ,INE426A01027
Algoquant Fintech Limited,,ALGOQUANT,EQ,INE598D01035
Alicon Castalloy Limited,,ALICON,EQ,INE062D01024
Alivus Life Sciences Limited,,ALIVUS,EQ,INE03Q201024
Alkali Metals Limited,,ALKALI,BE,INE773I01017
Alkem Laboratories Limited,,ALKEM,EQ,INE540L01014
Alkyl Amines Chemicals Limited,,ALKYLAMINE,EQ,INE150B01039
Allcargo Logistics Limited,,ALLCARGO,EQ,INE418H01029
Alldigi Tech Limited,,ALLDIGI,EQ,INE835G01018
All Time Plastics Limited,,ALLTIME,EQ,INE0GV601021
Almondz Global Securities Limited,,ALMONDZ,EQ,INE326B01035
Alok Industries Limited,,ALOKINDS,EQ,INE270A01029
Alpa Laboratories Limited,,ALPA,EQ,INE385I01010
Alphageo (India) Limited,,ALPHAGEO,EQ,INE137C01018
Amagi Media Labs Limited,,AMAGI,EQ,INE121R01077
Amanta Healthcare Limited,,AMANTA,BE,INE084K01015
Ambalal Sarabhai Enterprises Limited,,AMBALALSA,EQ,INE432A01017
Amber Enterprises India Limited,,AMBER,EQ,INE371P01015
Ambica Agarbathies & Aroma industries Limited,,AMBICAAGAR,EQ,INE792B01012
Ambika Cotton Mills Limited,,AMBIKCO,EQ,INE540G01014
Ambuja Cements Limited,,AMBUJACEM,EQ,INE079A01024
AMD Industries Limited,,AMDIND,EQ,INE005I01014
Amir Chand Jagdish Kumar (Exports) Limited,,AMIRCHAND,EQ,INE05TO01019
Amj Land Holdings Limited,,AMJLAND,EQ,INE606A01024
Amines & Plasticizers Limited,,AMNPLST,EQ,INE275D01022
Amrutanjan Health Care Limited,,AMRUTANJAN,EQ,INE098F01031
Anand Rathi Wealth Limited,,ANANDRATHI,EQ,INE463V01026
Anant Raj Limited,,ANANTRAJ,EQ,INE242C01024
ANDHRA PAPER LIMITED,,ANDHRAPAP,EQ,INE435A01051
The Andhra Sugars Limited,,ANDHRSUGAR,EQ,INE715B01021
Angel One Limited,,ANGELONE,EQ,INE732I01021
Anik Industries Limited,,ANIKINDS,BE,INE087B01017
Ankit Metal & Power Limited,,ANKITMETAL,BZ,INE106I01010
Anmol India Limited,,ANMOL,EQ,INE02AR01019
Ansal Properties & Infrastructure Limited,,ANSALAPI,BZ,INE436A01026
Antelopus Selan Energy Limited,,ANTELOPUS,EQ,INE818A01017
Antarctica Limited,,ANTGRAPHIC,EQ,INE414B01021
Anthem Biosciences Limited,,ANTHEM,EQ,INE0CZ201020
Anuh Pharma Limited,,ANUHPHR,EQ,INE489G01022
The Anup Engineering Limited,,ANUP,EQ,INE294Z01018
Anupam Rasayan India Limited,,ANURAS,EQ,INE930P01018
Apar Industries Limited,,APARINDS,EQ,INE372A01015
Anjani Portland Cement Limited,,APCL,EQ,INE071F01012
Apcotex Industries Limited,,APCOTEXIND,EQ,INE116A01032
Apex Frozen Foods Limited,,APEX,EQ,INE346W01013
APL Apollo Tubes Limited,,APLAPOLLO,EQ,INE702C01027
Alembic Pharmaceuticals Limited,,APLLTD,EQ,INE901L01018
Apollo Micro Systems Limited,,APOLLO,EQ,INE713T01028
Apollo Hospitals Enterprise Limited,,APOLLOHOSP,EQ,INE437A01024
Apollo Pipes Limited,,APOLLOPIPE,EQ,INE126J01016
Apollo Tyres Limited,,APOLLOTYRE,EQ,INE438A01022
Apollo Sindoori Hotels Limited,,APOLSINHOT,EQ,INE451F01024
Aptech Limited,,APTECHT,BE,INE266F01018
Aptus Value Housing Finance India Limited,,APTUS,EQ,INE852O01025
Aqylon Nexus Limited,,AQYLON,EQ,INE416A01051
Archidply Industries Limited,,ARCHIDPLY,EQ,INE877I01016
